Block Group,Stations
110010001001,34th St & Wisconsin Ave NW
110010001003,Wisconsin Ave & O St NW
110010001004,Georgetown Harbor / 30th St NW
110010001004,M St & Pennsylvania Ave NW
110010001004,C & O Canal & Wisconsin Ave NW
110010002011,37th & O St NW / Georgetown University
110010002024,34th & Water St NW
110010004002,36th & Calvert St NW / Glover Park
110010005011,Calvert St & Woodley Pl NW
110010005022,3000 Connecticut Ave NW / National Zoo
110010006002,Connecticut Ave & Newark St NW / Cleveland Park
110010007021,39th & Calvert St NW / Stoddert
110010009013,Ward Circle / American University
110010010022,Idaho Ave & Newark St NW [on 2nd District patio]
110010010022,Wisconsin Ave & Macomb St NW
110010010022,Wisconsin Ave & Newark St NW
110010011001,McKinley St & Connecticut Ave NW
110010011002,Fessenden St & Wisconsin Ave NW
110010011003,Connecticut & Nebraska Ave NW
110010011004,Tenleytown / Wisconsin Ave & Albemarle St NW
110010012004,Van Ness Metro / UDC
110010012004,Connecticut Ave & Tilden St NW
110010012004,39th & Veazey St NW
110010017022,Takoma Metro
110010020021,Georgia Ave & Emerson St NW
110010020022,14th St & Colorado Ave NW
110010021026,5th & Kennedy St NW
110010023021,1st & Washington Hospital Center NW
110010024003,9th & Upshur St NW
110010025011,14th & Upshur St NW
110010025012,14th St Heights / 14th & Crittenden St NW
110010025022,Georgia & New Hampshire Ave NW
110010025024,14th St & Spring Rd NW
110010027021,Lamont & Mt Pleasant NW
110010029002,Park Rd & Holmead Pl NW
110010030001,11th & Kenyon St NW
110010030002,14th & Harvard St NW
110010031001,Columbia Rd & Georgia Ave NW
110010033021,1st & Rhode Island Ave NW
110010034001,3rd & Elm St NW
110010034002,Georgia Ave and Fairmont St NW
110010035002,10th & Florida Ave NW
110010036001,14th & Belmont St NW
110010037002,15th & Euclid St  NW
110010038002,California St & Florida Ave NW
110010038002,18th St & Wyoming Ave NW
110010038003,16th & Harvard St NW
110010039002,Harvard St & Adams Mill Rd NW
110010039003,Adams Mill & Columbia Rd NW
110010040013,Calvert & Biltmore St NW
110010040021,Columbia Rd & Belmont St NW
110010040023,20th St & Florida Ave NW
110010042011,New Hampshire Ave & T St NW
110010042021,18th & R St NW
110010043001,14th & V St NW
110010044001,13th & U St NW
110010044001,10th & U St NW
110010044002,7th & T St NW
110010044002,12th & U St NW
110010046002,Florida Ave & R St NW
110010046002,New Jersey Ave & N St NW/Dunbar HS
110010047012,5th & K St NW
110010047021,4th St & Massachusetts Ave NW
110010047021,1st & H St NW
110010048011,New Jersey Ave & R St NW
110010049011,11th & S St NW
110010049011,7th & R St NW / Shaw Library
110010049022,Convention Center / 7th & M St NW
110010050012,14th & R St NW
110010050024,11th & M St NW
110010052011,Thomas Circle
110010052013,14th & Rhode Island Ave NW
110010052014,15th & P St NW
110010053013,17th St & Massachusetts Ave NW
110010053014,17th & Corcoran St NW
110010055001,Massachusetts Ave & Dupont Circle NW
110010055002,25th St & Pennsylvania Ave NW
110010055002,24th & N St NW
110010055005,20th & O St NW / Dupont South
110010056004,New Hampshire Ave & 24th St NW
110010058001,8th & F St NW / National Portrait Gallery
110010058001,MLK Library/9th & G St NW
110010058001,8th & D St NW
110010058001,10th & E St NW
110010058001,11th & F St NW
110010058001,14th & G St NW
110010058001,7th & F St NW / National Portrait Gallery
110010058001,Metro Center / 12th & G St NW
110010058001,8th & H St NW
110010058002,5th & F St NW
110010058002,6th St & Indiana Ave NW
110010059001,4th & D St NW / Judiciary Square
110010059001,Constitution Ave & 2nd St NW/DOL
110010059001,5th St & Massachusetts Ave NW
110010059001,North Capitol St & F St NW
110010059001,3rd & H St NW
110010062021,Jefferson Dr & 14th St SW
110010062021,Washington & Independence Ave SW/HHS
110010062021,19th St & Constitution Ave NW
110010062021,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
110010062021,10th St & Constitution Ave NW
110010062021,US Dept of State / Virginia Ave & 21st St NW
110010062021,21st St & Constitution Ave NW
110010062021,Lincoln Memorial
110010062021,Jefferson Memorial
110010062021,Kennedy Center
110010062021,14th & D St NW / Ronald Reagan Building
110010062021,Hains Point/Buckeye & Ohio Dr SW
110010062021,Smithsonian / Jefferson Dr & 12th St SW
110010065001,3rd & D St SE
110010066001,3rd St & Pennsylvania Ave SE
110010066001,Eastern Market / 7th & North Carolina Ave SE
110010068012,15th St & Massachusetts Ave SE
110010068041,19th & East Capitol St SE
110010069002,14th & D St SE
110010070001,3rd & G St SE
110010070002,8th & Eye St SE / Barracks Row
110010070002,Eastern Market Metro / Pennsylvania Ave & 7th St SE
110010071002,Potomac & Pennsylvania Ave SE
110010072001,1st & K St SE
110010072002,M St & New Jersey Ave SE
110010072002,3rd & Tingey St SE
110010072002,Potomac Ave & 8th St SE
110010072002,1st & N St  SE
110010073041,Congress Heights Metro
110010074011,Anacostia Metro
110010075031,Good Hope Rd & MLK Ave SE
110010075031,Pleasant St & MLK Ave SE
110010075031,Good Hope Rd & 14th St SE
110010076012,Pennsylvania & Minnesota Ave SE
110010076042,Good Hope & Naylor Rd SE
110010076042,Fairfax Village
110010076051,Anacostia Library
110010077082,34th St & Minnesota Ave SE
110010078031,Nannie Helen Burroughs & Minnesota Ave NE
110010078031,Minnesota Ave Metro/DOES
110010078033,Benning Rd & East Capitol St NE / Benning Rd Metro
110010078041,Nannie Helen Burroughs Ave & 49th St NE
110010078062,Deanwood Rec Center
110010079014,15th & F St NE
110010080012,13th & D St NE
110010080021,15th & East Capitol St NE
110010080022,Lincoln Park / 13th & East Capitol St NE
110010082001,8th & East Capitol St NE
110010082002,4th & East Capitol St NE
110010083021,6th & H St NE
